Rank,WCA ID,Name,Elo
557,2023GLAS03,Brodie Glass,1162
558,2022MCCA05,Bryce McCarter,1161
559,2019CRIP01,Jordan Crippa,1161
560,2023KHOC01,Chloe Kay Kho,1160
561,2023MEND63,Giancarlo Mendez,1159
562,2022DOUC02,Hansen Joe Doucette,1158
563,2023LUOE02,Eddie Luo,1158
564,2022HATC02,James Hatch,1157
565,2024FIGU07,Luis Figueroa,1155
566,2019TOWN02,Braxton Bryan Townsend,1155
567,2022MARC22,Nathan Marchick,1154
568,2023HINE03,Blake Hines,1154
569,2023LALA02,Saif Ali Saleh Lalani,1154
570,2022DOAN02,Elijah Doane,1153
571,2022GILD01,Owen Gilder,1153
572,2022OLIN01,Jacob Olinger,1150
573,2022STRO07,Cody Strother,1150
574,2022JOHN23,Rihan John,1149
575,2018SHEA02,Santiago Shea,1149
576,2022LIUA05,Andy Liu,1149
577,2018SHOR01,Dixon Short,1148
578,2023GOVA02,Sarvesh Krishnaa Govardhanan Kiruthica,1148
579,2018RODR22,Matthew Rodriguez,1148
580,2018VAND08,William Vandergrift,1147
581,2022DAMA01,Lance Damato,1147
582,2021LAUE02,John F. Lauer,1147
583,2017OUJU01,Junyan Ou,1147
584,2024HEAT02,Mason Heath,1147
585,2023ABUE01,Khalid Abuelhaija,1147
586,2023GALV05,Nicolas Galvis,1146
587,2018SIMP02,Clayton Joshua Simpson,1144
588,2022TICK01,Pierce Tickle,1144
589,2023CRUS01,Rowan Naylor Cruse,1142
590,2023BOYE05,Joseph Boyer,1142
591,2017MILL13,Lucas Miller,1142
592,2022PORT09,Cameron Porter,1142
593,2017BREE02,Ryan Michael Breen,1141
594,2023ARIF04,Shafin Arif,1141
595,2017MAGU05,Jack Maguire,1141
596,2016PARE03,Noah Paredes,1140
597,2024TAJA01,Jayden Nguyen Ta,1140
598,2014YANG37,Alvin Yang,1139
599,2018RIVE07,Adrian Rivera-Leon,1139
600,2024COUR02,Austin Coursey,1137
601,2023LEEA01,Andrew C. Lee,1137
602,2022OLSH01,Ben Olshansky,1136
603,2024NDOJ01,Alexander Ndoja,1135
604,2023JONS05,Avery Jonsson,1135
